in_v0,in_angle,out_time,out_max_height,out_final_position
9.24161770434775,55.25770731606769,1.5482274045550115,2.939331177983824,8.154003881907707
6.832255198161418,41.062450115580546,0.914980689808589,1.0266038239135902,4.713504535416162
0.21123722298068137,95.42929910193998,0.04287248760043603,0.0022539090492269993,-8.568802449215591E-4
0.9414903251123907,62.51612031004996,0.17028224210801354,0.03555639647470354,0.07398710188007915
7.122636466961085,129.7839748298174,1.1158979039668058,1.5269609969600473,-5.085970256972745
8.374088025264989,165.73481493205094,0.42068508921858583,0.21701675168665427,-3.414229012805537
6.699807884606451,170.57528730426188,0.22367042034160015,0.06134739531751015,-1.478320870625327
6.936245616355738,31.147581439310454,0.731444055583399,0.6560565109072162,4.342072383180909
9.75974342754084,143.0439695927275,1.1962440153486305,1.7547634363956546,-9.329486533641068
0.7428998068080506,100.60463154759614,0.1488708321704947,0.02717679587798003,-0.020353091753058206
8.484177628062849,39.74249957841652,1.1058634297970091,1.499622725975649,7.214322142755886
3.205894281264239,8.560660784700879,0.0972921458385576,0.011607390213344511,0.3084333066807462
8.768361131400814,79.9060222182929,1.7599675822577983,3.7982920733462393,2.7046679116211774
7.159265847943802,80.77915321955419,1.4407245695150708,2.545311533481878,1.6528038443341326
6.095652398320475,82.3980627142384,1.2318202085339394,1.8606884833196233,0.9933315355726974
0.36047763367869634,77.25997749154965,0.07168255664951524,0.006300949422728194,0.0056984236344048015
3.357424703958979,175.3883149888504,0.0550345276729419,0.003714065063370395,-0.18417607637282454
1.6083852321830616,159.78391070348306,0.11331220690431743,0.015744628456362292,-0.1710223749494218
5.5709849155407625,123.673846984259,0.94520169251979,1.0955394012387154,-2.9196467680028193
1.283169449723418,141.28419204462259,0.1636225359047325,0.03282957488129183,-0.16381938446454983
9.543906077050808,135.4338311639085,1.3653963526069042,2.2861067036471314,-9.28396525244047
0.24042895654954433,64.19660701270604,0.04412976668860002,0.0023880437726730703,0.0046183997424334286
6.191375344047247,54.21184653346352,1.0239244136219539,1.2856265023995648,3.7072762057304045
2.68107419839122,158.0059894492591,0.2047070758320877,0.05138599018088167,-0.5088923097559542
9.433868389842008,109.0488189949583,1.8179974718999232,4.052897033107071,-5.597552810933144
1.8706176353689707,142.39842106701727,0.23269911224950654,0.06640006022714498,-0.34486928197731115
8.38565601131471,45.94336489445288,1.2286187927401748,1.8510294490683907,7.164230830675874
